# This file contains objective function values from parameter estimation. Extended metabolic model, parameter estimation upper bounds of 1e4 and constraints on all internal metabbolites with lower bound of 0 mM and upper bounds of 1e2, 1e3 and 1e4.
value,model,ph,vc
14559.0,extended_very_high_constraints_1e4,6.5,False
157.193,extended_very_high_constraints_1e4,6.5,False
126.537,extended_very_high_constraints_1e4,6.5,False
17762.9,extended_very_high_constraints_1e4,6.5,False
351.698,extended_very_high_constraints_1e4,6.5,False
9934.02,extended_very_high_constraints_1e4,6.5,False
17566.3,extended_very_high_constraints_1e4,6.5,False
218.419,extended_very_high_constraints_1e4,6.5,False
123.888,extended_very_high_constraints_1e4,6.5,False
239.844,extended_very_high_constraints_1e4,6.5,False
73.1142,extended_very_high_constraints_1e4,6.5,False
17628.6,extended_very_high_constraints_1e4,6.5,False
9058.57,extended_very_high_constraints_1e4,6.5,False
82.3457,extended_very_high_constraints_1e4,6.5,False
17489.2,extended_very_high_constraints_1e4,6.5,False
17503.6,extended_very_high_constraints_1e4,6.5,False
17565.6,extended_very_high_constraints_1e4,6.5,False
9027.26,extended_very_high_constraints_1e4,6.5,False
17654.8,extended_very_high_constraints_1e4,6.5,False
121.122,extended_very_high_constraints_1e4,6.5,False
15508.9,extended_very_high_constraints_1e4,6.5,True
120.88,extended_very_high_constraints_1e4,6.5,True
15514.2,extended_very_high_constraints_1e4,6.5,True
99.9646,extended_very_high_constraints_1e4,6.5,True
15515.3,extended_very_high_constraints_1e4,6.5,True
153.204,extended_very_high_constraints_1e4,6.5,True
115.891,extended_very_high_constraints_1e4,6.5,True
15488.2,extended_very_high_constraints_1e4,6.5,True
104.215,extended_very_high_constraints_1e4,6.5,True
15537.4,extended_very_high_constraints_1e4,6.5,True
15463.2,extended_very_high_constraints_1e4,6.5,True
200.816,extended_very_high_constraints_1e4,6.5,True
16524.3,extended_very_high_constraints_1e4,6.5,True
15417.7,extended_very_high_constraints_1e4,6.5,True
124.404,extended_very_high_constraints_1e4,6.5,True
132.108,extended_very_high_constraints_1e4,6.5,True
15507.1,extended_very_high_constraints_1e4,6.5,True
15504.5,extended_very_high_constraints_1e4,6.5,True
15460.2,extended_very_high_constraints_1e4,6.5,True
138.276,extended_very_high_constraints_1e4,6.5,True
89.2619,extended_very_high_constraints_1e4,6.5,True
15503.2,extended_very_high_constraints_1e4,6.5,True
1203.75,extended_very_high_constraints_1e4,6.5,True
15427.0,extended_very_high_constraints_1e4,6.5,True
95.5903,extended_very_high_constraints_1e4,6.5,True
110.882,extended_very_high_constraints_1e4,6.5,True
15479.2,extended_very_high_constraints_1e4,6.5,True
